accepted_taxon_key,order_name,family_name,genus_name,species_name_provided,authority_name_provided,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
5139908,Lepidoptera,Lycaenidae,Eumaeus,Eumaeus toxea,,Eumaeus toxea,Eumaeus toxea,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1930830,Lepidoptera,Lycaenidae,Thecla,Allosmaitia strophius,,Allosmaitia strophius,Thecla strophius,99,SYNONYM,EXACT,SPECIES,London19Oct2023
1928582,Lepidoptera,Lycaenidae,Michaelus,Michaelus hecate,,Michaelus hecate,Michaelus hecate,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1928584,Lepidoptera,Lycaenidae,Michaelus,Michaelus ira,,Michaelus ira,Michaelus ira,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1928589,Lepidoptera,Lycaenidae,Michaelus,Michaelus jebus,,Michaelus jebus,Michaelus jebus,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Michaelus joseph,,Michaelus joseph,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
1930417,Lepidoptera,Lycaenidae,Thecla,Michaelus phoenissa,,Michaelus phoenissa,Thecla phoenissa,99,SYNONYM,EXACT,SPECIES,London19Oct2023
1928586,Lepidoptera,Lycaenidae,Michaelus,Michaelus thordesa,,Michaelus thordesa,Michaelus thordesa,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1929785,Lepidoptera,Lycaenidae,Thecla,Oenomaus atena,,Oenomaus atena,Thecla atena,99,SYNONYM,EXACT,SPECIES,London19Oct2023
1929773,Lepidoptera,Lycaenidae,Thecla,Oenomaus atesa,,Oenomaus atesa,Thecla atesa,99,SYNONYM,EXACT,SPECIES,London19Oct2023
9385009,Lepidoptera,Lycaenidae,Oenomaus,Oenomaus cyanovenata,,Oenomaus cyanovenata,Oenomaus cyanovenata,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1930161,Lepidoptera,Lycaenidae,Thecla,Oenomaus melleus,,Oenomaus melleus,Thecla melleus,99,SYNONYM,EXACT,SPECIES,London19Oct2023
1931310,Lepidoptera,Lycaenidae,Oenomaus,Oenomaus ortygnus,,Oenomaus ortygnus,Oenomaus ortygnus,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1931122,Lepidoptera,Lycaenidae,Parrhasius,Parrhasius orgia,,Parrhasius orgia,Parrhasius orgia,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1931119,Lepidoptera,Lycaenidae,Parrhasius,Parrhasius polibetes,,Parrhasius polibetes,Parrhasius polibetes,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
6241214,Lepidoptera,Lycaenidae,Parrhasius,Parrhasius urraca,,Parrhasius urraca,Parrhasius m-album,99,SYNONYM,EXACT,SPECIES,London19Oct2023
1930576,Lepidoptera,Lycaenidae,Thecla,Gargina caninius,,Gargina caninius,Thecla caninius,99,SYNONYM,EXACT,SPECIES,London19Oct2023
1930497,Lepidoptera,Lycaenidae,Thecla,Gargina emessa,,Gargina emessa,Thecla emessa,99,SYNONYM,EXACT,SPECIES,London19Oct2023
1930544,Lepidoptera,Lycaenidae,Thecla,Gargina gargophia,,Gargina gargophia,Thecla gargophia,99,SYNONYM,EXACT,SPECIES,London19Oct2023
1930321,Lepidoptera,Lycaenidae,Thecla,Gargina gnosia,,Gargina gnosia,Thecla gnosia,99,SYNONYM,EXACT,SPECIES,London19Oct2023
11456763,Lepidoptera,Lycaenidae,Gargina,Gargina thoria,,Gargina thoria,Gargina thoria,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
9940057,Lepidoptera,Lycaenidae,Gargina,Gargina thyesta,,Gargina thyesta,Gargina thyesta,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Ministrymon arola,,Ministrymon arola,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
1930563,Lepidoptera,Lycaenidae,Thecla,Ministrymon azia,,Ministrymon azia,Thecla azia,99,SYNONYM,EXACT,SPECIES,London19Oct2023
11826837,Lepidoptera,Lycaenidae,Ministrymon,Ministrymon cleon,,Ministrymon cleon,Ministrymon cleon,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1928215,Lepidoptera,Lycaenidae,Ministrymon,Ministrymon clytie,,Ministrymon clytie,Ministrymon clytie,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Ministrymon collucia,,Ministrymon collucia,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Ministrymon inoa,,Ministrymon inoa,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
8846776,Lepidoptera,Lycaenidae,Ministrymon,Ministrymon janevicroy,,Ministrymon janevicroy,Ministrymon janevicroy,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
10716259,Lepidoptera,Lycaenidae,Ministrymon,Ministrymon phrutus,,Ministrymon phrutus,Ministrymon phrutus,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
