accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
10113756,Lepidoptera,Tortricidae,Ophiorrhabda,Ophiorrhabda scaristis,Ophiorrhabda scaristis,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1743395,Lepidoptera,Tortricidae,Sisona,Sisona albitibiana,Sisona albitibiana,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1747682,Lepidoptera,Tortricidae,Sorolopha,Sorolopha cyclotoma,Sorolopha cyclotoma,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1747680,Lepidoptera,Tortricidae,Sorolopha,Sorolopha phyllochlora,Sorolopha phyllochlora,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1741559,Lepidoptera,Tortricidae,Statherotis,Statherotis leucaspis,Statherotis leucaspis,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1747100,Lepidoptera,Tortricidae,Sycacantha,Sycacantha inodes,Sycacantha inodes,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1740455,Lepidoptera,Tortricidae,Adoxophyes,Adoxophyes moderatana,Adoxophyes moderatana,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1740469,Lepidoptera,Tortricidae,Adoxophyes,Adoxophyes privatana,Adoxophyes privatana,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1746893,Lepidoptera,Tortricidae,Archips,Archips micaceana,Archips micaceana,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1745947,Lepidoptera,Tortricidae,Homona,Homona coffearia,Homona coffearia,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
10714586,Lepidoptera,Tortricidae,Homona,Homona eductana,Homona eductana,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1747229,Lepidoptera,Tortricidae,Meridemis,Meridemis furtiva,Meridemis furtiva,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1737313,Lepidoptera,Tortricidae,Neocalyptis,Neocalyptis affinisana,Neocalyptis affinisana,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
6118011,Lepidoptera,Tortricidae,Phricanthes,Phricanthes flexilineana,Phricanthes flexilineana,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1738619,Lepidoptera,Tortricidae,Polemograptis,Polemograptis miltocosma,Polemograptis miltocosma,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
6132711,Lepidoptera,Uraniidae,Dysaethria,Dysaethria flavistriga,Dysaethria flavistriga,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
11759783,Lepidoptera,Uraniidae,Dysaethria,Dysaethria indignaria,Dysaethria indignaria,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
11845979,Lepidoptera,Uraniidae,Dysaethria,Dysaethria lilacina,Dysaethria lilacina,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
9960530,Lepidoptera,Uraniidae,Dysaethria,Dysaethria plicata,Dysaethria plicata,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
6132712,Lepidoptera,Uraniidae,Dysaethria,Dysaethria quadricaudata,Dysaethria quadricaudata,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
6132720,Lepidoptera,Uraniidae,Europlema,Europlema desistaria,Europlema desistaria,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
11815566,Lepidoptera,Uraniidae,Europlema,Europlema poecilaria,Europlema poecilaria,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
