accepted_taxon_key,order_name,family_name,genus_name,species_name_provided,authority_name_provided,search_species_name,gbif_species_name,confidence,status,match_type,rank,source,n_imgs
1874278,Lepidoptera,Pyralidae,Acrobasis,Acrobasis fallouella,"Raganot, 1871",Acrobasis fallouella,Acrobasis glaucella,99,SYNONYM,EXACT,SPECIES,London06October2023,0
4531158,Lepidoptera,Pyralidae,Acrobasis,Acrobasis marmorea,"Haworth, 1811",Acrobasis marmorea,Acrobasis marmorea,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1874192,Lepidoptera,Pyralidae,Acrobasis,Acrobasis repandana,"Fabricius, 1798",Acrobasis repandana,Acrobasis repandana,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4531145,Lepidoptera,Pyralidae,Acrobasis,Acrobasis suavella,"Zincken, 1818",Acrobasis suavella,Acrobasis suavella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1874211,Lepidoptera,Pyralidae,Acrobasis,Acrobasis tumidana,"Denis & Schiffermüller, 1775",Acrobasis tumidana,Acrobasis tumidana,98,ACCEPTED,EXACT,SPECIES,London06October2023,0
1877988,Lepidoptera,Pyralidae,Aglossa,Aglossa caprealis,"Hübner, 1809",Aglossa caprealis,Aglossa caprealis,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1877989,Lepidoptera,Pyralidae,Aglossa,Aglossa dimidiatus,"Haworth, 1809",Aglossa dimidiatus,Aglossa dimidiatus,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1877974,Lepidoptera,Pyralidae,Aglossa,Aglossa ocellalis,"Lederer, 1863",Aglossa ocellalis,Aglossa ocellalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1877941,Lepidoptera,Pyralidae,Aglossa,Aglossa pinguinalis,"Linnaeus, 1758",Aglossa pinguinalis,Aglossa pinguinalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1874402,Lepidoptera,Pyralidae,Ancylodes,Ancylodes pallens,"Ragonot, 1887",Ancylodes pallens,Ancylodes pallens,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
9782192,Lepidoptera,Pyralidae,Ancylosis,Ancylosis cinnamomella,"Duponchel, 1836",Ancylosis cinnamomella,Ancylosis cinnamomella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1874743,Lepidoptera,Pyralidae,Ancylosis,Ancylosis oblitella,"Zeller, 1848",Ancylosis oblitella,Ancylosis oblitella,98,ACCEPTED,EXACT,SPECIES,London06October2023,0
1870202,Lepidoptera,Pyralidae,Anerastia,Anerastia lotella,"Hübner, 1813",Anerastia lotella,Anerastia lotella,98,ACCEPTED,EXACT,SPECIES,London06October2023,0
1870250,Lepidoptera,Pyralidae,Aphomia,Aphomia sociella,"Linnaeus, 1758",Aphomia sociella,Aphomia sociella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1869852,Lepidoptera,Pyralidae,Apomyelois,Apomyelois bistriatella,"Hulst, 1887",Apomyelois bistriatella,Apomyelois bistriatella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1869858,Lepidoptera,Pyralidae,Apomyelois,Apomyelois ceratoniae,"Zeller, 1839",Apomyelois ceratoniae,Apomyelois ceratoniae,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1871969,Lepidoptera,Pyralidae,Arenipses,Arenipses sabella,"Hampson, 1901",Arenipses sabella,Arenipses sabella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1876854,Lepidoptera,Pyralidae,Assara,Assara terebrella,"Zincken, 1818",Assara terebrella,Assara terebrella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1873919,Lepidoptera,Pyralidae,Cadra,Cadra calidella,"Guenée, 1845",Cadra calidella,Cadra calidella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1873890,Lepidoptera,Pyralidae,Cadra,Cadra cautella,"Walker, 1863",Cadra cautella,Cadra cautella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1873903,Lepidoptera,Pyralidae,Cadra,Cadra figulilella,"Gregson, 1871",Cadra figulilella,Cadra figulilella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1869976,Lepidoptera,Pyralidae,Catastia,Catastia marginea,"Denis & Schiffermüller, 1775",Catastia marginea,Catastia marginea,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1876941,Lepidoptera,Pyralidae,Corcyra,Corcyra cephalonica,"Stainton, 1866",Corcyra cephalonica,Corcyra cephalonica,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1873048,Lepidoptera,Pyralidae,Cryptoblabes,Cryptoblabes bistriga,"Haworth, 1811",Cryptoblabes bistriga,Cryptoblabes bistriga,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1873051,Lepidoptera,Pyralidae,Cryptoblabes,Cryptoblabes gnidiella,"Millière, 1867",Cryptoblabes gnidiella,Cryptoblabes gnidiella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4531318,Lepidoptera,Pyralidae,Delplanqueia,Delplanqueia dilutella,"Denis & Schiffermüller, 1775",Delplanqueia dilutella,Delplanqueia dilutella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4531316,Lepidoptera,Pyralidae,Delplanqueia,Delplanqueia inscriptella,"Duponchel, 1836",Delplanqueia inscriptella,Delplanqueia inscriptella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1877368,Lepidoptera,Pyralidae,Dioryctria,Dioryctria abietella,"Denis & Schiffermüller, 1775",Dioryctria abietella,Dioryctria abietella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4531246,Lepidoptera,Pyralidae,Dioryctria,Dioryctria schuetzeella,"Fuchs, 1899",Dioryctria schuetzeella,Dioryctria schuetzeella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1877341,Lepidoptera,Pyralidae,Dioryctria,Dioryctria simplicella,"Heinemann, 1863",Dioryctria simplicella,Dioryctria mutatella,99,SYNONYM,EXACT,SPECIES,London06October2023,0
1877310,Lepidoptera,Pyralidae,Dioryctria,Dioryctria sylvestrella,"Ratzeburg, 1840",Dioryctria sylvestrella,Dioryctria sylvestrella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1871826,Lepidoptera,Pyralidae,Eccopisa,Eccopisa effractella,"Zeller, 1848",Eccopisa effractella,Eccopisa effractella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1876626,Lepidoptera,Pyralidae,Elegia,Elegia fallax,"Staudinger, 1881",Elegia fallax,Elegia fallax,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1876623,Lepidoptera,Pyralidae,Elegia,Elegia similella,"Zincken, 1818",Elegia similella,Elegia similella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5125570,Lepidoptera,Pyralidae,Endotricha,Endotricha consobrinalis,"Zeller, 1852",Endotricha consobrinalis,Endotricha consobrinalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5125689,Lepidoptera,Pyralidae,Endotricha,Endotricha flammealis,"Denis & Schiffermüller, 1775",Endotricha flammealis,Endotricha flammealis,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1878470,Lepidoptera,Pyralidae,Ephestia,Ephestia elutella,"Hübner, 1796",Ephestia elutella,Ephestia elutella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1878490,Lepidoptera,Pyralidae,Ephestia,Ephestia kuehniella,"Zeller, 1879",Ephestia kuehniella,Ephestia kuehniella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1878471,Lepidoptera,Pyralidae,Ephestia,Ephestia woodiella,"Richards & Thomson, 1932",Ephestia woodiella,Ephestia woodiella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1877090,Lepidoptera,Pyralidae,Epischnia,Epischnia asteris,"Staudinger, 1870",Epischnia asteris,Epischnia asteris,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1870450,Lepidoptera,Pyralidae,Etiella,Etiella zinckenella,"Treitschke, 1832",Etiella zinckenella,Etiella zinckenella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1876528,Lepidoptera,Pyralidae,Eurhodope,Eurhodope cirrigerella,"Zincken, 1818",Eurhodope cirrigerella,Eurhodope cirrigerella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5127170,Lepidoptera,Crambidae,Eustixia,Eustixia pupula,"Hübner, 1823",Eustixia pupula,Eustixia pupula,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1875330,Lepidoptera,Pyralidae,Euzophera,Euzophera bigella,"Zeller, 1848",Euzophera bigella,Euzophera bigella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1875376,Lepidoptera,Pyralidae,Euzophera,Euzophera cinerosella,"Zeller, 1839",Euzophera cinerosella,Euzophera cinerosella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1875397,Lepidoptera,Pyralidae,Euzophera,Euzophera costivittella,"Rogonot, 1887",Euzophera costivittella,Euzophera costivittella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1875425,Lepidoptera,Pyralidae,Euzophera,Euzophera osseatella,"Treitschke, 1832",Euzophera osseatella,Euzophera osseatella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1875327,Lepidoptera,Pyralidae,Euzophera,Euzophera pinguis,"Haworth, 1811",Euzophera pinguis,Euzophera pinguis,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1876542,Lepidoptera,Pyralidae,Galleria,Galleria mellonella,"Linnaeus, 1758",Galleria mellonella,Galleria mellonella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1878586,Lepidoptera,Pyralidae,Gymnancyla,Gymnancyla canella,"Denis & Schiffermüller, 1775",Gymnancyla canella,Gymnancyla canella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5126013,Lepidoptera,Pyralidae,Homoeosoma,Homoeosoma electellum,"Hulst, 1887",Homoeosoma electellum,Homoeosoma electella,97,ACCEPTED,FUZZY,SPECIES,London06October2023,0
5125960,Lepidoptera,Pyralidae,Homoeosoma,Homoeosoma nebulella,"Denis & Schiffermüller, 1775",Homoeosoma nebulella,Homoeosoma nebulella,98,ACCEPTED,EXACT,SPECIES,London06October2023,0
5126004,Lepidoptera,Pyralidae,Homoeosoma,Homoeosoma nimbella,"Duponchel, 1837",Homoeosoma nimbella,Homoeosoma nimbella,98,ACCEPTED,EXACT,SPECIES,London06October2023,0
5126052,Lepidoptera,Pyralidae,Homoeosoma,Homoeosoma sinuella,"Fabricius, 1794",Homoeosoma sinuella,Homoeosoma sinuella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
