accepted_taxon_key,order_name,family_name,genus_name,species_name_provided,authority_name_provided,search_species_name,gbif_species_name,confidence,status,match_type,rank,source,n_imgs
1872901,Lepidoptera,Pyralidae,Pyralis,Pyralis farinalis,,Pyralis farinalis,Pyralis farinalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,1000
1872873,Lepidoptera,Pyralidae,Pyralis,Pyralis manihotalis,,Pyralis manihotalis,Pyralis manihotalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,171
1872850,Lepidoptera,Pyralidae,Pyralis,Pyralis pictalis,,Pyralis pictalis,Pyralis pictalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,167
-1,NotAvail,NotAvail,NotAvail,Zitha torridalis,,Zitha torridalis,NotAvail,100,NotAvail,NONE,NotAvail,London06October2023,0
5124716,Lepidoptera,Saturniidae,Attacus,Attacus atlas,"Linnaeus,1758",Attacus atlas,Attacus atlas,99,ACCEPTED,EXACT,SPECIES,London06October2023,673
1867928,Lepidoptera,Saturniidae,Saturnia,Saturnia pyri,,Saturnia pyri,Saturnia pyri,99,ACCEPTED,EXACT,SPECIES,London06October2023,1000
5120278,Lepidoptera,Scythrididae,Eretmocera,Eretmocera impactella,,Eretmocera impactella,Eretmocera impactella,99,ACCEPTED,EXACT,SPECIES,London06October2023,140
11901335,Lepidoptera,Sesiidae,Tyrictaca,Tyrictaca pulchra,,Tyrictaca pulchra,Tyrictaca pulchra,99,ACCEPTED,EXACT,SPECIES,London06October2023,1
1861933,Lepidoptera,Sphingidae,Acosmeryx,Acosmeryx shervillii,,Acosmeryx shervillii,Acosmeryx shervillii,99,ACCEPTED,EXACT,SPECIES,London06October2023,46
1863354,Lepidoptera,Sphingidae,Angonyx,Angonyx testacea,,Angonyx testacea,Angonyx testacea,99,ACCEPTED,EXACT,SPECIES,London06October2023,133
1863467,Lepidoptera,Sphingidae,Cechenena,Cechenena helops,,Cechenena helops,Cechenena helops,99,ACCEPTED,EXACT,SPECIES,London06October2023,88
-1,NotAvail,NotAvail,NotAvail,Cechenena helops helops,"Walker, 1856","Cechenena helops helops Walker, 1856",NotAvail,99,NotAvail,NONE,NotAvail,London06October2023,0
1863034,Lepidoptera,Sphingidae,Cephonodes,Cephonodes hylas,,Cephonodes hylas,Cephonodes hylas,98,ACCEPTED,EXACT,SPECIES,London06October2023,482
1862394,Lepidoptera,Sphingidae,Daphnis,Daphnis hypothous,"Cramer, 1780",Daphnis hypothous,Daphnis hypothous,98,ACCEPTED,EXACT,SPECIES,London06October2023,349
1862401,Lepidoptera,Sphingidae,Daphnis,Daphnis nerii,"Linnaeus,1758",Daphnis nerii,Daphnis nerii,99,ACCEPTED,EXACT,SPECIES,London06October2023,1000
1863646,Lepidoptera,Sphingidae,Elibia,Elibia dolichus,"Westwood,1847",Elibia dolichus,Elibia dolichus,99,ACCEPTED,EXACT,SPECIES,London06October2023,130
